,cross_val,is_stand,fold,k,weight,metric,acc,f1
1093,StratifiedKFold,False,3,1,uniform,manhattan,0.9833333333333333,0.9839345839345839
1094,StratifiedKFold,False,3,1,distance,euclidean,0.9551724137931035,0.9560146904479759
1095,StratifiedKFold,False,3,1,distance,manhattan,0.9660919540229885,0.9674789628121635
1096,StratifiedKFold,False,3,1,mma,euclidean,0.9436781609195402,0.9451477737480299
1097,StratifiedKFold,False,3,1,mma,manhattan,0.9436781609195402,0.9444514949223004
1098,StratifiedKFold,False,3,2,uniform,euclidean,0.9386973180076628,0.9418636408174043
1099,StratifiedKFold,False,3,2,uniform,manhattan,0.9549808429118773,0.9563541243145784
1100,StratifiedKFold,False,3,2,distance,euclidean,0.9551724137931035,0.9558975772873844
1101,StratifiedKFold,False,3,2,distance,manhattan,0.9662835249042145,0.9673836757300047
1102,StratifiedKFold,False,3,2,mma,euclidean,0.960727969348659,0.9610788702655424
1103,StratifiedKFold,False,3,2,mma,manhattan,0.9718390804597701,0.9735374722739628
1104,StratifiedKFold,False,3,3,uniform,euclidean,0.9660919540229885,0.9668810698182878
1105,StratifiedKFold,False,3,3,uniform,manhattan,0.9718390804597701,0.9722925298525498
1106,StratifiedKFold,False,3,3,distance,euclidean,0.9436781609195403,0.9448121728596659
1107,StratifiedKFold,False,3,3,distance,manhattan,0.9773946360153257,0.9786115655680873
1108,StratifiedKFold,False,3,3,mma,euclidean,0.960919540229885,0.9618819851986617
1109,StratifiedKFold,False,3,3,mma,manhattan,0.9660919540229885,0.9673275236782389
1110,StratifiedKFold,False,3,4,uniform,euclidean,0.9327586206896552,0.937061924315803
1111,StratifiedKFold,False,3,4,uniform,manhattan,0.9385057471264368,0.942143069437393
1112,StratifiedKFold,False,3,4,distance,euclidean,0.9660919540229885,0.9670101187278245
1113,StratifiedKFold,False,3,4,distance,manhattan,0.9659003831417624,0.9672045629846141
1114,StratifiedKFold,False,3,4,mma,euclidean,0.9549808429118773,0.955237814737378
1115,StratifiedKFold,False,3,4,mma,manhattan,0.9718390804597701,0.9734118977581444
1116,StratifiedKFold,False,3,5,uniform,euclidean,0.960727969348659,0.9623658839921989
1117,StratifiedKFold,False,3,5,uniform,manhattan,0.9775862068965517,0.978699819712733
1118,StratifiedKFold,False,3,5,distance,euclidean,0.9720306513409961,0.973024351470987
1119,StratifiedKFold,False,3,5,distance,manhattan,0.9720306513409961,0.9728853757222551
1120,StratifiedKFold,False,3,5,mma,euclidean,0.960727969348659,0.9611562203928103
1121,StratifiedKFold,False,3,5,mma,manhattan,0.9718390804597701,0.9727549214914121
1122,StratifiedKFold,False,3,6,uniform,euclidean,0.9438697318007663,0.9460401355750193
1123,StratifiedKFold,False,3,6,uniform,manhattan,0.9720306513409962,0.9744798411465079
1124,StratifiedKFold,False,3,6,distance,euclidean,0.9605363984674329,0.9615980275787238
1125,StratifiedKFold,False,3,6,distance,manhattan,0.9831417624521073,0.9838766984935468
1126,StratifiedKFold,False,3,6,mma,euclidean,0.9494252873563218,0.9505963526975142
1127,StratifiedKFold,False,3,6,mma,manhattan,0.9720306513409961,0.9739304221444995
1128,StratifiedKFold,False,3,7,uniform,euclidean,0.9660919540229885,0.9674725103666867
1129,StratifiedKFold,False,3,7,uniform,manhattan,0.9662835249042145,0.9674659762895056
1130,StratifiedKFold,False,3,7,distance,euclidean,0.9664750957854406,0.966504828165237
1131,StratifiedKFold,False,3,7,distance,manhattan,0.9716475095785441,0.9731773165046961
1132,StratifiedKFold,False,3,7,mma,euclidean,0.9659003831417624,0.966418537808345
1133,StratifiedKFold,False,3,7,mma,manhattan,0.9662835249042145,0.966805525629055
1134,StratifiedKFold,False,3,8,uniform,euclidean,0.9720306513409961,0.9739304221444995
1135,StratifiedKFold,False,3,8,uniform,manhattan,0.9831417624521073,0.9845599381831266
1136,StratifiedKFold,False,3,8,distance,euclidean,0.960727969348659,0.962186157056198
1137,StratifiedKFold,False,3,8,distance,manhattan,0.9833333333333333,0.9839345839345839
1138,StratifiedKFold,False,3,8,mma,euclidean,0.960727969348659,0.9610744560681981
1139,StratifiedKFold,False,3,8,mma,manhattan,0.949808429118774,0.9502937676727896
1140,StratifiedKFold,False,3,9,uniform,euclidean,0.960536398467433,0.9617699779272271
1141,StratifiedKFold,False,3,9,uniform,manhattan,0.9888888888888888,0.9898518134117511
1142,StratifiedKFold,False,3,9,distance,euclidean,0.960727969348659,0.9613736915870282
1143,StratifiedKFold,False,3,9,distance,manhattan,0.9775862068965517,0.9794858448890021
1144,StratifiedKFold,False,3,9,mma,euclidean,0.9662835249042145,0.9672740378775361
1145,StratifiedKFold,False,3,9,mma,manhattan,0.9718390804597701,0.9733285233285233
1146,StratifiedKFold,False,3,10,uniform,euclidean,0.9601532567049809,0.9616356488971648
1147,StratifiedKFold,False,3,10,uniform,manhattan,0.9720306513409962,0.9736519898414561
1148,StratifiedKFold,False,3,10,distance,euclidean,0.9720306513409962,0.9731339893234555
1149,StratifiedKFold,False,3,10,distance,manhattan,0.9662835249042145,0.968503524441179
1150,StratifiedKFold,False,3,10,mma,euclidean,0.9551724137931035,0.9560146904479759
1151,StratifiedKFold,False,3,10,mma,manhattan,0.9772030651340996,0.9782514097988205
1152,StratifiedKFold,False,3,15,uniform,euclidean,0.960536398467433,0.9618431667862058
1153,StratifiedKFold,False,3,15,uniform,manhattan,0.960919540229885,0.9625949750416929
1154,StratifiedKFold,False,3,15,distance,euclidean,0.9662835249042145,0.9664586748050037
1155,StratifiedKFold,False,3,15,distance,manhattan,0.9660919540229885,0.96734346145715
1156,StratifiedKFold,False,3,15,mma,euclidean,0.9551724137931035,0.956844661448242
1157,StratifiedKFold,False,3,15,mma,manhattan,0.9777777777777777,0.9788604906404594
1158,StratifiedKFold,False,3,20,uniform,euclidean,0.9553639846743295,0.9566884821786782
1159,StratifiedKFold,False,3,20,uniform,manhattan,0.9660919540229885,0.96734346145715
1160,StratifiedKFold,False,3,20,distance,euclidean,0.9662835249042145,0.9679051506417236
